date,job_title,salary_in_usd,work_mode,country,skills
2025,Other,52996.0,onsite,GB,['r']
2025,Data Analyst,50000.0,hybrid,GB,"['excel', 'power bi', 'python', 'r', 'sql']"
2025,Data Analyst,24000.0,onsite,GB,['r']
2025,Data Analyst,35000.0,onsite,GB,['r']
2025,Data Analyst,43779.0,onsite,GB,['r']
2025,Data Analyst,25904.0,onsite,GB,['r']
2025,Data Analyst,47135.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Data Analyst,40522.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Data Analyst,39248.0,onsite,GB,['r']
2025,Data Analyst,28000.0,onsite,GB,['r']
2025,Data Analyst,39248.0,onsite,GB,['r']
2025,Data Analyst,59082.0,onsite,GB,['r']
2025,Data Engineer,64864.0,onsite,GB,"['azure', 'r']"
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Data Scientist,47200.0,onsite,GB,['r']
2025,Data Analyst,58957.0,onsite,GB,['r']
2025,Data Analyst,41806.0,onsite,GB,['r']
2025,Data Analyst,97500.0,remote,GB,['r']
2025,Data Analyst,39248.0,onsite,GB,['r']
2025,Data Analyst,54000.0,hybrid,GB,['r']
2025,Data Analyst,42500.0,hybrid,GB,"['excel', 'power bi', 'python', 'r', 'sql']"
2025,Other,35130.0,onsite,GB,"['excel', 'r']"
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,42713.0,onsite,GB,['r']
2025,Other,35000.0,onsite,GB,['r']
2025,Other,62604.0,onsite,GB,['r']
2025,Data Analyst,35739.0,onsite,GB,['r']
2025,Data Analyst,55000.0,hybrid,GB,['r']
2025,Other,45372.0,onsite,GB,['r']
2025,Data Analyst,35830.0,onsite,GB,['r']
2025,Other,65066.0,onsite,GB,['r']
2025,Other,54162.0,onsite,GB,['r']
2025,Data Analyst,169000.0,onsite,GB,['r']
2025,Data Analyst,29472.0,hybrid,GB,"['excel', 'r', 'statistics']"
2025,Data Analyst,55000.0,onsite,GB,['r']
2025,Other,30847.0,onsite,GB,['r']
2025,Data Analyst,40823.0,hybrid,GB,['r']
2025,Data Analyst,50000.0,onsite,GB,['r']
2025,Data Analyst,45862.0,onsite,GB,['r']
2025,Other,45459.0,onsite,GB,['r']
2025,Data Scientist,53196.0,onsite,GB,['r']
2025,Data Engineer,74337.0,onsite,GB,['r']
2025,Data Scientist,48904.0,onsite,GB,['r']
2025,Data Analyst,40000.0,remote,GB,"['excel', 'r']"
2025,Other,41767.0,onsite,GB,['r']
2025,Data Analyst,40000.0,onsite,GB,['r']
2025,Data Analyst,25000.0,hybrid,GB,"['power bi', 'r', 'sql']"
2025,Data Scientist,48094.0,hybrid,GB,['r']
2025,Other,28928.0,onsite,GB,['r']
2025,Data Engineer,104000.0,onsite,GB,['r']
2025,Data Analyst,45998.0,onsite,GB,['r']
2025,Data Analyst,48594.0,onsite,GB,['r']
2025,Data Analyst,45805.0,onsite,GB,['r']
2025,Data Analyst,37656.0,onsite,GB,['r']
2025,Data Analyst,37441.0,onsite,GB,['r']
2025,Data Analyst,37464.0,onsite,GB,['r']
2025,Other,65000.0,onsite,GB,"['python', 'r', 'sql']"
2025,Data Engineer,57000.0,onsite,GB,"['r', 'sql']"
2025,Data Analyst,60000.0,hybrid,GB,"['python', 'r', 'sql']"
2025,Data Analyst,54570.0,onsite,GB,['r']
2025,Data Analyst,38034.0,hybrid,GB,['r']
2025,Data Scientist,43144.0,hybrid,GB,['r']
2025,Data Analyst,97500.0,hybrid,GB,['r']
